zipcode,city,county,population
34667,Hudson,Pasco County,33272
33462,Lake Worth,Palm Beach County,33241
33409,West Palm Beach,Palm Beach County,33212
33326,Fort Lauderdale,Broward County,33155
32578,Niceville,Okaloosa County,33130
33173,Miami,Miami-Dade County,33089
33611,Tampa,Hillsborough County,33070
34119,Naples,Collier County,32911
32114,Daytona Beach,Volusia County,32847
32312,Tallahassee,Leon County,32783
33460,Lake Worth,Palm Beach County,32573
33180,Miami,Miami-Dade County,32441
32720,Deland,Volusia County,32421
33713,Saint Petersburg,Pinellas County,32348
32277,Jacksonville,Duval County,32327
34205,Bradenton,Manatee County,32294
32405,Panama City,Bay County,32239
34266,Arcadia,De Soto County,32229
32904,Melbourne,Brevard County,32138
33702,Saint Petersburg,Pinellas County,32019
33884,Winter Haven,Polk County,32019
33127,Miami,Miami-Dade County,31902
34243,Sarasota,Manatee County,31901
33026,Hollywood,Broward County,31891
33054,Opa Locka,Miami-Dade County,31797
33909,Cape Coral,Lee County,31750
33013,Hialeah,Miami-Dade County,31712
33445,Delray Beach,Palm Beach County,31703
32309,Tallahassee,Leon County,31597
33407,West Palm Beach,Palm Beach County,31551
34772,St. Cloud,Osceola County,31436
33185,Miami,Miami-Dade County,31359
34472,Ocala,Marion County,31344
32570,Milton,Santa Rosa County,31341
32301,Tallahassee,Leon County,31317
32909,Palm Bay,Brevard County,31251
32773,Sanford,Seminole County,31225
33904,Cape Coral,Lee County,31086
33143,Miami,Miami-Dade County,31056
32507,Pensacola,Escambia County,31036
32221,Jacksonville,Duval County,30900
32208,Jacksonville,Duval County,30841
33626,Tampa,Hillsborough County,30743
33145,Miami,Miami-Dade County,30713
33837,Davenport,Polk County,30634
32082,Ponte Vedra Beach,St. Johns County,30539
34142,Immokalee,Collier County,30534
32127,Daytona Beach,Volusia County,30398
33771,Largo,Pinellas County,30365
33809,Lakeland,Polk County,30347
34231,Sarasota,Sarasota County,30341
33919,Fort Myers,Lee County,30330
32205,Jacksonville,Duval County,30305
33138,Miami,Miami-Dade County,30221
32607,Gainesville,Alachua County,30214
32539,Crestview,Okaloosa County,30131
33917,North Fort Myers,Lee County,30049
34990,Palm City,Martin County,29999
33570,Ruskin,Hillsborough County,29967
32159,Lady Lake,Lake County,29920
33130,Miami,Miami-Dade County,29737
32533,Cantonment,Escambia County,29713
33150,Miami,Miami-Dade County,29652
33328,Fort Lauderdale,Broward County,29626
32779,Longwood,Seminole County,29603
32086,Saint Augustine,St. Johns County,29580
33510,Brandon,Hillsborough County,29574
33334,Fort Lauderdale,Broward County,29494
33803,Lakeland,Polk County,29460
34639,Land O Lakes,Pasco County,29395
33325,Fort Lauderdale,Broward County,29369
32583,Milton,Santa Rosa County,29365
33144,Miami,Miami-Dade County,29344
33404,West Palm Beach,Palm Beach County,29339
32809,Orlando,Orange County,29095
34684,Palm Harbor,Pinellas County,29088
33442,Deerfield Beach,Broward County,28964
33830,Bartow,Polk County,28884
33705,Saint Petersburg,Pinellas County,28857
33401,West Palm Beach,Palm Beach County,28687
32003,Orange Park,Clay County,28676
32958,Sebastian,Indian River County,28617
34287,North Port,Sarasota County,28614
32327,Crawfordville,Wakulla County,28525
33569,Riverview,Hillsborough County,28442
34986,Port St. Lucie,St. Lucie County,28265
33544,Zephyrhills,Pasco County,28187
33543,Zephyrhills,Pasco County,28156
33069,Pompano Beach,Broward County,28138
32757,Mount Dora,Lake County,27990
33971,Lehigh Acres,Lee County,27941
32832,Orlando,Orange County,27919
33993,Cape Coral,Lee County,27905
32819,Orlando,Orange County,27840
32168,New Smyrna Beach,Volusia County,27679
32806,Orlando,Orange County,27661
33406,West Palm Beach,Palm Beach County,27585
32937,Satellite Beach,Brevard County,27551
34689,Tarpon Springs,Pinellas County,27445
33168,Miami,Miami-Dade County,27414
32927,Cocoa,Brevard County,27377
33067,Pompano Beach,Broward County,27358
33618,Tampa,Hillsborough County,27352
33441,Deerfield Beach,Broward County,27323
33764,Clearwater,Pinellas County,27320
33470,Loxahatchee,Palm Beach County,27317
33625,Tampa,Hillsborough County,27305
33308,Fort Lauderdale,Broward County,27294
33314,Fort Lauderdale,Broward County,27261
32250,Jacksonville Beach,Duval County,27246
34606,Spring Hill,Hernando County,27209
34112,Naples,Collier County,27064
33629,Tampa,Hillsborough County,27061
33860,Mulberry,Polk County,26893
33028,Hollywood,Broward County,26848
32177,Palatka,Putnam County,26845
33584,Seffner,Hillsborough County,26798
32043,Green Cove Springs,Clay County,26743
33770,Largo,Pinellas County,26627
33755,Clearwater,Pinellas County,26616
34491,Summerfield,Marion County,26614
32789,Winter Park,Orange County,26483
32962,Vero Beach,Indian River County,26459
32117,Daytona Beach,Volusia County,26425
33825,Avon Park,Highlands County,26420
32505,Pensacola,Escambia County,26354
33484,Delray Beach,Palm Beach County,26299
33446,Delray Beach,Palm Beach County,26006
32563,Gulf Breeze,Santa Rosa County,25912
33547,Lithia,Hillsborough County,25907
34471,Ocala,Marion County,25734
33331,Fort Lauderdale,Broward County,25718
33703,Saint Petersburg,Pinellas County,25699
32605,Gainesville,Alachua County,25556
33805,Lakeland,Polk County,25529
33913,Fort Myers,Lee County,25497
33189,Miami,Miami-Dade County,25298
33928,Estero,Lee County,25141
34982,Fort Pierce,St. Lucie County,25135
32901,Melbourne,Brevard County,25089
32750,Longwood,Seminole County,25025
34769,St. Cloud,Osceola County,24995
32233,Atlantic Beach,Duval County,24979
33916,Fort Myers,Lee County,24907
33781,Pinellas Park,Pinellas County,24856
33707,Saint Petersburg,Pinellas County,24767
34219,Parrish,Manatee County,24750
33712,Saint Petersburg,Pinellas County,24738
34202,Bradenton,Manatee County,24637
33709,Saint Petersburg,Pinellas County,24619
33444,Delray Beach,Palm Beach County,24597
32223,Jacksonville,Duval County,24571
34104,Naples,Collier County,24520
33936,Lehigh Acres,Lee County,24517
33907,Fort Myers,Lee County,24429
33607,Tampa,Hillsborough County,24384
34482,Ocala,Marion County,24352
33166,Miami,Miami-Dade County,24346
34109,Naples,Collier County,24251
33558,Lutz,Hillsborough County,24248
32536,Crestview,Okaloosa County,24105
32060,Live Oak,Suwannee County,24064
34110,Naples,Collier County,23988
34974,Okeechobee,Okeechobee County,23952
32953,Merritt Island,Brevard County,23939
33426,Boynton Beach,Palm Beach County,23866
33327,Fort Lauderdale,Broward County,23811
34652,New Port Richey,Pasco County,23688
33935,Labelle,Hendry County,23513
33782,Pinellas Park,Pinellas County,23443
32606,Gainesville,Alachua County,23442
32025,Lake City,Columbia County,23416
33486,Boca Raton,Palm Beach County,23325
32905,Palm Bay,Brevard County,23302
33950,Punta Gorda,Charlotte County,23299
34476,Ocala,Marion County,23279
32763,Orange City,Volusia County,23277
34957,Jensen Beach,Martin County,23204
33556,Odessa,Hillsborough County,23182
33430,Belle Glade,Palm Beach County,23172
33573,Sun City Center,Hillsborough County,23170
33772,Seminole,Pinellas County,23125
33137,Miami,Miami-Dade County,22955
32701,Altamonte Springs,Seminole County,22940
34654,New Port Richey,Pasco County,22935
33897,Davenport,Polk County,22752
33634,Tampa,Hillsborough County,22719
33062,Pompano Beach,Broward County,22692
33903,North Fort Myers,Lee County,22657
32504,Pensacola,Escambia County,22562
33496,Boca Raton,Palm Beach County,22530
33991,Cape Coral,Lee County,22516
34601,Brooksville,Hernando County,22487
32726,Eustis,Lake County,22485
32751,Maitland,Orange County,22471
32778,Tavares,Lake County,22454
32119,Daytona Beach,Volusia County,22344
32967,Vero Beach,Indian River County,22319
33811,Lakeland,Polk County,22293
33870,Sebring,Highlands County,22284
32311,Tallahassee,Leon County,22264
32080,Saint Augustine,St. Johns County,22261
33455,Hobe Sound,Martin County,22200
32129,Port Orange,Volusia County,22185
34113,Naples,Collier County,22175
34677,Oldsmar,Pinellas County,22169
32444,Lynn Haven,Bay County,22163
33034,Homestead,Miami-Dade County,22142
32960,Vero Beach,Indian River County,22036
32308,Tallahassee,Leon County,22029
32401,Panama City,Bay County,22027
34234,Sarasota,Sarasota County,21932
32926,Cocoa,Brevard County,21915
33714,Saint Petersburg,Pinellas County,21866
33184,Miami,Miami-Dade County,21785
32548,Fort Walton Beach,Okaloosa County,21708
33323,Fort Lauderdale,Broward County,21651
33541,Zephyrhills,Pasco County,21612
33431,Boca Raton,Palm Beach County,21610
33566,Plant City,Hillsborough County,21505
33603,Tampa,Hillsborough County,21366
33901,Fort Myers,Lee County,21364
34747,Kissimmee,Osceola County,21354
34212,Bradenton,Manatee County,21244
32128,Daytona Beach,Volusia County,21183
33852,Lake Placid,Highlands County,21099
34771,St. Cloud,Osceola County,21052
32952,Merritt Island,Brevard County,20966
34481,Ocala,Marion County,20963
32305,Tallahassee,Wakulla County,20902
32713,Debary,Volusia County,20892
34972,Okeechobee,Okeechobee County,20877
33487,Boca Raton,Palm Beach County,20677
33405,West Palm Beach,Palm Beach County,20633
32796,Titusville,Brevard County,20609
33167,Miami,Miami-Dade County,20582
33525,Dade City,Pasco County,20576
33606,Tampa,Hillsborough County,20576
33432,Boca Raton,Palm Beach County,20487
33434,Boca Raton,Palm Beach County,20486
34275,Nokomis,Sarasota County,20472
33572,Apollo Beach,Hillsborough County,20380
32829,Orlando,Orange County,20376
34691,Holiday,Pasco County,20257
34286,North Port,Sarasota County,20178
32803,Orlando,Orange County,20148
33181,Miami,Miami-Dade County,20111
32609,Gainesville,Alachua County,20105
32836,Orlando,Orange County,20053
33598,Wimauma,Hillsborough County,20053
34238,Sarasota,Sarasota County,20049
34473,Ocala,Marion County,19998
33140,Miami Beach,Miami-Dade County,19938
32217,Jacksonville,Duval County,19899
33761,Clearwater,Pinellas County,19794
34470,Ocala,Marion County,19794
33440,Clewiston,Hendry County,19761
33763,Clearwater,Pinellas County,19730
33711,Saint Petersburg,Pinellas County,19706
32024,Lake City,Columbia County,19452
33187,Miami,Miami-Dade County,19392
32601,Gainesville,Alachua County,19363
34736,Groveland,Lake County,19271
34480,Ocala,Marion County,19188
32934,Melbourne,Brevard County,19105
32541,Destin,Okaloosa County,19066
32141,Edgewater,Volusia County,19031
32097,Yulee,Nassau County,19030
32805,Orlando,Orange County,18908
32408,Panama City,Bay County,18864
33523,Dade City,Pasco County,18835
32351,Quincy,Gadsden County,18720
34285,Venice,Sarasota County,18653
33635,Tampa,Hillsborough County,18650
33912,Fort Myers,Lee County,18646
33131,Miami,Miami-Dade County,18477
33559,Lutz,Hillsborough County,18473
32966,Vero Beach,Indian River County,18462
34695,Safety Harbor,Pinellas County,18382
33609,Tampa,Hillsborough County,18367
33304,Fort Lauderdale,Broward County,18351
34223,Englewood,Sarasota County,18336
33716,Saint Petersburg,Pinellas County,18242
33759,Clearwater,Pinellas County,18236
34114,Naples,Collier County,18223
33408,North Palm Beach,Palm Beach County,18207
34788,Leesburg,Lake County,18193
33774,Largo,Pinellas County,18097
34237,Sarasota,Sarasota County,18071
32804,Orlando,Orange County,18023
34105,Naples,Collier County,18011
33549,Lutz,Hillsborough County,17998
34685,Palm Harbor,Pinellas County,17998
34613,Brooksville,Hernando County,17924
32433,Defuniak Springs,Walton County,17877
33565,Plant City,Hillsborough County,17864
34145,Marco Island,Collier County,17834
34994,Stuart,Martin County,17800
34233,Sarasota,Sarasota County,17767
34420,Belleview,Marion County,17749
32821,Orlando,Orange County,17680
33605,Tampa,Hillsborough County,17655
33773,Largo,Pinellas County,17595
32428,Chipley,Washington County,17564
33637,Tampa,Hillsborough County,17555
32118,Daytona Beach,Volusia County,17520
33413,West Palm Beach,Palm Beach County,17487
34465,Beverly Hills,Citrus County,17455
34446,Homosassa,Citrus County,17454
33760,Clearwater,Pinellas County,17336
32459,Santa Rosa Beach,Walton County,17213
34474,Ocala,Marion County,17143
33534,Gibsonton,Hillsborough County,17123
33948,Port Charlotte,Charlotte County,17122
34951,Fort Pierce,St. Lucie County,17106
34117,Naples,Collier County,17039
33704,Saint Petersburg,Pinellas County,16982
33898,Lake Wales,Polk County,16931
32766,Oviedo,Seminole County,16855
33616,Tampa,Hillsborough County,16781
33066,Pompano Beach,Broward County,16752
33777,Seminole,Pinellas County,16748
32922,Cocoa,Brevard County,16709
33182,Miami,Miami-Dade County,16607
34950,Fort Pierce,St. Lucie County,16603
32055,Lake City,Columbia County,16590
33146,Miami,Miami-Dade County,16473
34210,Bradenton,Manatee County,16462
34108,Naples,Collier County,16450
34224,Englewood,Sarasota County,16422
33706,Saint Petersburg,Pinellas County,16321
33035,Homestead,Miami-Dade County,16159
33190,Miami,Miami-Dade County,16147
33708,Saint Petersburg,Pinellas County,16083
33004,Dania,Broward County,16082
34984,Port St. Lucie,St. Lucie County,16035
32206,Jacksonville,Duval County,16027
33872,Sebring,Highlands County,15923
33136,Miami,Miami-Dade County,15848
33330,Fort Lauderdale,Broward County,15793
33701,Saint Petersburg,Pinellas County,15728
34239,Sarasota,Sarasota County,15716
32226,Jacksonville,Duval County,15667
33602,Tampa,Hillsborough County,15586
34241,Sarasota,Sarasota County,15568
32310,Tallahassee,Leon County,15544
33972,Lehigh Acres,Lee County,15515
33412,West Palm Beach,Palm Beach County,15472
34292,Venice,Sarasota County,15398
34235,Sarasota,Sarasota County,15303
32091,Starke,Bradford County,15256
32656,Keystone Heights,Clay County,15150
33498,Boca Raton,Palm Beach County,15150
33815,Lakeland,Polk County,15148
33983,Punta Gorda,Charlotte County,15100
33527,Dover,Hillsborough County,15092
32963,Vero Beach,Indian River County,15027
34134,Bonita Springs,Lee County,14992
33301,Fort Lauderdale,Broward County,14988
32641,Gainesville,Alachua County,14959
33469,Jupiter,Palm Beach County,14924
32317,Tallahassee,Leon County,14876
34731,Fruitland Park,Lake County,14858
32413,Panama City Beach,Bay County,14805
34442,Hernando,Citrus County,14752
33765,Clearwater,Pinellas County,14744
32534,Pensacola,Escambia County,14742
34610,Spring Hill,Pasco County,14698
33154,Miami,Miami-Dade County,14634
33778,Largo,Pinellas County,14582
32903,Indialantic,Brevard County,14557
32011,Callahan,Nassau County,14509
32176,Ormond Beach,Volusia County,14460
33873,Wauchula,Hardee County,14162
34947,Fort Pierce,St. Lucie County,14155
33170,Miami,Miami-Dade County,14121
33478,Jupiter,Palm Beach County,14067
32669,Newberry,Alachua County,14037
32653,Gainesville,Alachua County,14030
33132,Miami,Miami-Dade County,13849
33315,Fort Lauderdale,Broward County,13801
32931,Cocoa Beach,Brevard County,13771
33129,Miami,Miami-Dade County,13750
33019,Hollywood,Broward County,13729
32615,Alachua,Alachua County,13635
34479,Ocala,Marion County,13603
32425,Bonifay,Holmes County,13586
33776,Seminole,Pinellas County,13573
32063,Macclenny,Baker County,13482
32254,Jacksonville,Duval County,13431
32908,Palm Bay,Brevard County,13397
33980,Port Charlotte,Charlotte County,13342
34669,Hudson,Pasco County,13304
34236,Sarasota,Sarasota County,13217
34475,Ocala,Marion County,13179
32968,Vero Beach,Indian River County,13154
34103,Naples,Collier County,13129
32220,Jacksonville,Duval County,12981
33149,Key Biscayne,Miami-Dade County,12943
32348,Perry,Taylor County,12935
33403,West Palm Beach,Palm Beach County,12794
33513,Bushnell,Sumter County,12713
33483,Delray Beach,Palm Beach County,12703
32219,Jacksonville,Duval County,12685
34432,Dunnellon,Marion County,12673
32569,Mary Esther,Okaloosa County,12657
33477,Jupiter,Palm Beach County,12608
34604,Brooksville,Hernando County,12608
32696,Williston,Levy County,12436
32784,Umatilla,Lake County,12371
32344,Monticello,Jefferson County,12356
32801,Orlando,Orange County,12243
33305,Fort Lauderdale,Broward County,12222
33567,Plant City,Hillsborough County,12195
33868,Polk City,Polk County,12081
32776,Sorrento,Lake County,12029
32951,Melbourne Beach,Brevard County,11974
34452,Inverness,Citrus County,11903
32693,Trenton,Gilchrist County,11882
32054,Lake Butler,Union County,11811
32095,Saint Augustine,St. Johns County,11800
32643,High Springs,Alachua County,11666
34222,Ellenton,Manatee County,11659
33896,Davenport,Polk County,11654
33853,Lake Wales,Polk County,11649
33332,Fort Lauderdale,Broward County,11622
34102,Naples,Collier County,11548
33592,Thonotosassa,Hillsborough County,11546
33875,Sebring,Highlands County,11522
32222,Jacksonville,Duval County,11521
34288,North Port,Sarasota County,11511
34240,Sarasota,Sarasota County,11442
33955,Punta Gorda,Charlotte County,11436
34690,Holiday,Pasco County,11408
33981,Port Charlotte,Charlotte County,11407
34461,Lecanto,Citrus County,11380
32340,Madison,Madison County,11374
32333,Havana,Gadsden County,11314
32640,Hawthorne,Alachua County,11299
32501,Pensacola,Escambia County,11134
32446,Marianna,Jackson County,11115
33843,Frostproof,Polk County,11032
33859,Lake Wales,Polk County,11025
32754,Mims,Brevard County,10984
32736,Eustis,Lake County,10848
32407,Panama City Beach,Bay County,10822
33037,Key Largo,Monroe County,10816
34996,Stuart,Martin County,10741
32148,Interlachen,Putnam County,10710
34450,Inverness,Citrus County,10692
34453,Inverness,Citrus County,10621
33954,Port Charlotte,Charlotte County,10573
33931,Fort Myers Beach,Lee County,10566
32820,Orlando,Orange County,10442
34488,Silver Springs,Marion County,10424
32439,Freeport,Walton County,10413
34448,Homosassa,Citrus County,10394
33982,Punta Gorda,Charlotte County,10391
32579,Shalimar,Okaloosa County,10338
32920,Cape Canaveral,Brevard County,10283
34956,Indiantown,Martin County,10258
32169,New Smyrna Beach,Volusia County,10228
32038,Fort White,Columbia County,10184
32409,Panama City,Bay County,10144
32680,Old Town,Dixie County,10139
33480,Palm Beach,Palm Beach County,10031
32561,Gulf Breeze,Santa Rosa County,9925
32833,Orlando,Orange County,9857
33316,Fort Lauderdale,Broward County,9736
34987,Port St. Lucie,St. Lucie County,9717
33050,Marathon,Monroe County,9443
32052,Jasper,Hamilton County,9427
32827,Orlando,Orange County,9427
32046,Hilliard,Nassau County,9418
33947,Rotonda West,Charlotte County,9096
32976,Sebastian,Brevard County,9092
34428,Crystal River,Citrus County,9043
33841,Fort Meade,Polk County,8969
34211,Bradenton,Manatee County,8898
32626,Chiefland,Levy County,8782
33540,Zephyrhills,Pasco County,8652
33476,Pahokee,Palm Beach County,8513
32448,Marianna,Jackson County,8405
34607,Spring Hill,Hernando County,8403
33762,Clearwater,Pinellas County,8355
34429,Crystal River,Citrus County,8338
33850,Lake Alfred,Polk County,8324
32136,Flagler Beach,Flagler County,8306
32110,Bunnell,Flagler County,8267
32618,Archer,Alachua County,8264
34436,Floral City,Citrus County,8169
33194,Miami,Miami-Dade County,8081
32456,Port Saint Joe,Gulf County,8036
32814,Orlando,Orange County,8021
34434,Dunnellon,Citrus County,8021
34431,Dunnellon,Marion County,8002
33128,Miami,Miami-Dade County,7992
32550,Destin,Walton County,7978
32465,Wewahitchka,Gulf County,7962
32179,Ocklawaha,Marion County,7919
32440,Graceville,Jackson County,7777
32134,Fort Mc Coy,Marion County,7754
33597,Webster,Sumter County,7702
34602,Brooksville,Hernando County,7697
34229,Osprey,Sarasota County,7674
34949,Fort Pierce,St. Lucie County,7663
32112,Crescent City,Putnam County,7646
32347,Perry,Taylor County,7609
32132,Edgewater,Volusia County,7570
32948,Fellsmere,Indian River County,7564
32204,Jacksonville,Duval County,7547
33834,Bowling Green,Hardee County,7524
32424,Blountstown,Calhoun County,7514
32435,Defuniak Springs,Walton County,7494
34242,Sarasota,Sarasota County,7465
33767,Clearwater Beach,Pinellas County,7452
34688,Tarpon Springs,Pinellas County,7443
32066,Mayo,Lafayette County,7420
32040,Glen Saint Mary,Baker County,7329
33957,Sanibel,Lee County,7319
33715,Saint Petersburg,Pinellas County,7296
34228,Longboat Key,Manatee County,7283
33548,Lutz,Hillsborough County,7222
34614,Brooksville,Hernando County,7195
32612,Gainesville,Alachua County,7164
33031,Homestead,Miami-Dade County,7124
34251,Myakka City,Manatee County,7115
32266,Neptune Beach,Duval County,7101
32087,Sanderson,Baker County,7097
32603,Gainesville,Alachua County,6949
32064,Live Oak,Suwannee County,6890
33471,Moore Haven,Glades County,6866
33953,Port Charlotte,Charlotte County,6741
32666,Melrose,Putnam County,6664
33042,Summerland Key,Monroe County,6623
34433,Dunnellon,Citrus County,6574
32202,Jacksonville,Duval County,6523
33158,Miami,Miami-Dade County,6469
32321,Bristol,Liberty County,6321
32352,Quincy,Gadsden County,6246
33920,Alva,Lee County,6243
32124,Daytona Beach,Volusia County,6117
32535,Century,Escambia County,6094
34946,Fort Pierce,St. Lucie County,6079
32730,Casselberry,Seminole County,5943
34753,Mascotte,Lake County,5932
32189,Satsuma,Putnam County,5874
32234,Jacksonville,Duval County,5867
32466,Youngstown,Bay County,5795
32145,Hastings,St. Johns County,5723
32130,De Leon Springs,Volusia County,5703
32460,Sneads,Jackson County,5690
32619,Bell,Gilchrist County,5639
33493,South Bay,Palm Beach County,5532
32531,Baker,Okaloosa County,5526
33785,Indian Rocks Beach,Pinellas County,5432
34981,Fort Pierce,St. Lucie County,5393
32508,Pensacola,Escambia County,5383
32628,Cross City,Dixie County,5380
33620,Tampa,Hillsborough County,5318
32113,Citra,Marion County,5216
34945,Fort Pierce,St. Lucie County,5187
33070,Tavernier,Monroe County,5132
34217,Bradenton Beach,Manatee County,5079
32565,Jay,Santa Rosa County,5014
32621,Bronson,Levy County,4946
33043,Big Pine Key,Monroe County,4933
33876,Sebring,Highlands County,4888
32421,Altha,Calhoun County,4834
33890,Zolfo Springs,Hardee County,4773
32686,Reddick,Marion County,4737
32735,Grand Island,Lake County,4728
33538,Lake Panasoffkee,Sumter County,4728
32324,Chattahoochee,Gadsden County,4716
32668,Morriston,Levy County,4678
32033,Elkton,St. Johns County,4676
34734,Gotha,Orange County,4591
32732,Geneva,Seminole County,4576
33576,San Antonio,Pasco County,4543
32617,Anthony,Marion County,4541
32180,Pierson,Volusia County,4535
32950,Malabar,Brevard County,4522
34269,Arcadia,De Soto County,4517
32580,Valparaiso,Okaloosa County,4491
32008,Branford,Suwannee County,4425
32577,Molino,Escambia County,4390
32058,Lawtey,Bradford County,4368
32464,Westville,Holmes County,4367
32131,East Palatka,Putnam County,4365
33838,Dundee,Polk County,4358
32667,Micanopy,Alachua County,4352
32331,Greenville,Madison County,4193
32431,Cottondale,Jackson County,4145
32083,Raiford,Union County,4115
33922,Bokeelia,Lee County,4108
32455,Ponce De Leon,Holmes County,4081
34201,Bradenton,Manatee County,3997
32322,Carrabelle,Franklin County,3994
32071,O Brien,Suwannee County,3903
32320,Apalachicola,Franklin County,3887
32438,Fountain,Bay County,3822
32744,Lake Helen,Volusia County,3807
34773,St. Cloud,Osceola County,3728
32009,Bryceville,Nassau County,3661
34484,Oxford,Sumter County,3637
32053,Jennings,Hamilton County,3538
34756,Montverde,Lake County,3505
33036,Islamorada,Monroe County,3496
33956,Saint James City,Lee County,3489
32462,Vernon,Washington County,3488
34289,North Port,Sarasota County,3481
32328,Eastpoint,Franklin County,3415
33839,Eagle Lake,Polk County,3356
32227,Jacksonville,Duval County,3337
32767,Paisley,Lake County,3334
32502,Pensacola,Escambia County,3331
32442,Grand Ridge,Jackson County,3299
32831,Orlando,Orange County,3228
32343,Midway,Gadsden County,3221
34449,Inglis,Levy County,3192
32443,Greenwood,Jackson County,3165
32764,Osteen,Volusia County,3165
32542,Eglin Afb,Okaloosa County,3128
33306,Fort Lauderdale,Broward County,3124
32567,Laurel Hill,Okaloosa County,3099
33827,Babson Park,Polk County,3062
32759,Oak Hill,Volusia County,3014
32564,Holt,Okaloosa County,2959
34737,Howey In The Hills,Lake County,2942
32195,Weirsdale,Marion County,2926
32798,Zellwood,Orange County,2882
34705,Astatula,Lake County,2860
32568,Mc David,Escambia County,2853
32702,Altoona,Lake County,2796
32403,Panama City,Bay County,2779
33621,Tampa,Hillsborough County,2751
33514,Center Hill,Sumter County,2717
32094,Wellborn,Suwannee County,2575
32181,Pomona Park,Putnam County,2558
32445,Malone,Jackson County,2497
32949,Grant,Brevard County,2468
32212,Jacksonville,Duval County,2466
32059,Lee,Madison County,2418
33857,Lorida,Highlands County,2377
32102,Astor,Lake County,2283
32096,White Springs,Hamilton County,2186
33946,Placida,Charlotte County,2104
32334,Hosford,Liberty County,2024
32694,Waldo,Alachua County,2023
32358,Sopchoppy,Wakulla County,2021
32544,Hurlburt Field,Okaloosa County,1962
32420,Alford,Jackson County,1958
32346,Panacea,Wakulla County,1933
32187,San Mateo,Putnam County,1871
32709,Christmas,Orange County,1832
32062,Mc Alpin,Suwannee County,1826
33965,Fort Myers,Lee County,1735
32044,Hampton,Bradford County,1711
32625,Cedar Key,Levy County,1686
33786,Belleair Beach,Pinellas County,1565
32925,Patrick Afb,Brevard County,1533
32140,Florahome,Putnam County,1439
32190,Seville,Volusia County,1309
32350,Pinetta,Madison County,1272
32359,Steinhatchee,Taylor County,1271
32616,Alachua,Alachua County,1235
32430,Clarksville,Calhoun County,1173
33849,Kathleen,Polk County,1171
33851,Lake Hamilton,Polk County,1153
33585,Sumterville,Sumter County,1133
32336,Lamont,Jefferson County,1128
32332,Gretna,Gadsden County,1077
34797,Yalaha,Lake County,1041
32427,Caryville,Washington County,1034
32511,Pensacola,Escambia County,1034
32622,Brooker,Bradford County,1032
33848,Intercession City,Osceola County,1022
32139,Georgetown,Putnam County,971
32423,Bascom,Jackson County,966
32410,Mexico Beach,Bay County,964
33865,Ona,Hardee County,958
33930,Felda,Hendry County,930
34760,Oakland,Orange County,863
32437,Ebro,Washington County,843
32426,Campbellton,Jackson County,814
33921,Boca Grande,Lee County,813
32147,Hollister,Putnam County,790
34681,Crystal Beach,Pinellas County,730
34216,Anna Maria,Manatee County,724
32193,Welaka,Putnam County,705
32509,Pensacola,Escambia County,675
33960,Venus,Highlands County,672
32330,Greensboro,Gadsden County,651
34137,Copeland,Collier County,651
33877,Waverly,Polk County,618
34215,Cortez,Manatee County,596
34498,Yankeetown,Levy County,585
33521,Coleman,Sumter County,557
32449,Kinard,Calhoun County,552
34762,Okahumpka,Lake County,544
33051,Key Colony Beach,Monroe County,534
32061,Lulu,Columbia County,514
32228,Jacksonville,Duval County,470
32079,Penney Farms,Clay County,451
33109,Miami Beach,Miami-Dade County,408
32648,Horseshoe Beach,Dixie County,392
32664,Mc Intosh,Marion County,391
32361,Wacissa,Jefferson County,383
32658,La Crosse,Alachua County,375
32970,Wabasso,Indian River County,369
33438,Canal Point,Palm Beach County,367
32157,Lake Como,Putnam County,363
34138,Chokoloskee,Collier County,340
34140,Goodland,Collier County,337
33001,Long Key,Monroe County,331
33867,River Ranch,Polk County,327
33854,Fedhaven,Polk County,294
33039,Homestead,Miami-Dade County,280
33856,Nalcrest,Polk County,270
32683,Otter Creek,Levy County,268
32697,Worthington Springs,Union County,253
32355,Saint Marks,Wakulla County,244
34739,Kenansville,Osceola County,243
33944,Palmdale,Glades County,219
32463,Wausau,Washington County,216
32072,Olustee,Baker County,211
33122,Miami,Miami-Dade County,205
34139,Everglades City,Collier County,204
33924,Captiva,Lee County,195
32639,Gulf Hammock,Levy County,194
33847,Homeland,Polk County,176
33503,Balm,Hillsborough County,162
32692,Suwannee,Dixie County,160
32447,Marianna,Jackson County,159
34268,Nocatee,De Soto County,157
32631,Earleton,Alachua County,155
32323,Lanark Village,Franklin County,137
33744,Bay Pines,Pinellas County,122
34661,Nobleton,Hernando County,104
34141,Ochopee,Collier County,67
34679,Aripeka,Pasco County,43
32530,Bagdad,Santa Rosa County,40
32461,Rosemary Bch,Bay County,36
32681,Orange Lake,Marion County,31
32133,Eastlake Weir,Marion County,17
32830,Orlando,Orange County,6
11368,Corona,Queens County,112088
11385,Ridgewood,Queens County,107796
11211,Brooklyn,Kings County,103123
11208,Brooklyn,Kings County,101313
10467,Bronx,Bronx County,101255
11236,Brooklyn,Kings County,100844
11226,Brooklyn,Kings County,99558
11373,Elmhurst,Queens County,94437
11234,Brooklyn,Kings County,93534
11220,Brooklyn,Kings County,93170
10456,Bronx,Bronx County,92717
11214,Brooklyn,Kings County,92644
10025,New York City,New York County,92251
11207,Brooklyn,Kings County,91083
