zipcode,city,county,population
94539,Fremont,Alameda County,54982
93215,Delano,Kern County,54958
91406,Van Nuys,Los Angeles County,54890
91801,Alhambra,Los Angeles County,54768
92129,San Diego,San Diego County,54762
92840,Garden Grove,Orange County,54735
90723,Paramount,Los Angeles County,54513
91304,Canoga Park,Los Angeles County,54361
92234,Cathedral City,Riverside County,54357
92399,Yucaipa,San Bernardino County,54268
92584,Menifee,Riverside County,54235
95350,Modesto,Stanislaus County,54210
91913,Chula Vista,San Diego County,54114
93308,Bakersfield,Kern County,53981
90063,Los Angeles,Los Angeles County,53980
90034,Los Angeles,Los Angeles County,53861
91786,Upland,San Bernardino County,53697
91344,Granada Hills,Los Angeles County,53613
92870,Placentia,Orange County,53600
90018,Los Angeles,Los Angeles County,53490
95023,Hollister,San Benito County,53423
92557,Moreno Valley,Riverside County,53406
90002,Los Angeles,Los Angeles County,53302
92505,Riverside,Riverside County,53282
95125,San Jose,Santa Clara County,53155
91605,North Hollywood,Los Angeles County,53113
94601,Oakland,Alameda County,53039
92025,Escondido,San Diego County,52985
95648,Lincoln,Placer County,52949
90220,Compton,Los Angeles County,52817
92620,Irvine,Orange County,52569
92833,Fullerton,Orange County,52435
92056,Oceanside,San Diego County,52337
93277,Visalia,Tulare County,52271
95207,Stockton,San Joaquin County,52269
92656,Aliso Viejo,Orange County,52268
95616,Davis,Yolo County,52212
95037,Morgan Hill,Santa Clara County,51994
90221,Compton,Los Angeles County,51688
93003,Ventura,Ventura County,51629
90024,Los Angeles,Los Angeles County,51627
92084,Vista,San Diego County,51619
95124,San Jose,Santa Clara County,51455
90047,Los Angeles,Los Angeles County,51411
92024,Encinitas,San Diego County,51381
92128,San Diego,San Diego County,51357
90046,Los Angeles,Los Angeles County,50900
92691,Mission Viejo,Orange County,50839
92886,Yorba Linda,Orange County,50784
92111,San Diego,San Diego County,50693
91767,Pomona,Los Angeles County,50606
92626,Costa Mesa,Orange County,50605
93551,Palmdale,Los Angeles County,50601
90703,Cerritos,Los Angeles County,50589
92078,San Marcos,San Diego County,50510
94086,Sunnyvale,Santa Clara County,50477
92243,El Centro,Imperial County,50402
92069,San Marcos,San Diego County,50376
94550,Livermore,Alameda County,50374
92026,Escondido,San Diego County,50321
90057,Los Angeles,Los Angeles County,50152
92127,San Diego,San Diego County,49935
93638,Madera,Madera County,49932
92544,Hemet,Riverside County,49923
92064,Poway,San Diego County,49805
94553,Martinez,Contra Costa County,49784
91306,Winnetka,Los Angeles County,49678
90638,La Mirada,Los Angeles County,49227
90630,Cypress,Orange County,49205
94014,Daly City,San Mateo County,49170
90033,Los Angeles,Los Angeles County,49155
93304,Bakersfield,Kern County,49115
93611,Clovis,Fresno County,49053
92618,Irvine,Orange County,48997
95240,Lodi,San Joaquin County,48799
95351,Modesto,Stanislaus County,48542
90247,Gardena,Los Angeles County,48293
95148,San Jose,Santa Clara County,48273
94303,Palo Alto,San Mateo County,48244
92028,Fallbrook,San Diego County,48173
92122,San Diego,San Diego County,48071
90032,Los Angeles,Los Angeles County,48031
92879,Corona,Riverside County,47872
95336,Manteca,San Joaquin County,47855
95843,Antelope,Sacramento County,47823
95060,Santa Cruz,Santa Cruz County,47801
94577,San Leandro,Alameda County,47682
95136,San Jose,Santa Clara County,47476
94116,San Francisco,San Francisco County,47346
92705,Santa Ana,Orange County,47298
94551,Livermore,Alameda County,47227
94560,Newark,Alameda County,47171
92109,San Diego,San Diego County,47111
93720,Fresno,Fresno County,47081
91748,Rowland Heights,Los Angeles County,47079
91352,Sun Valley,Los Angeles County,47076
90025,Los Angeles,Los Angeles County,46883
92843,Garden Grove,Orange County,46873
92692,Mission Viejo,Orange County,46800
90023,Los Angeles,Los Angeles County,46680
92009,Carlsbad,San Diego County,46612
91765,Diamond Bar,Los Angeles County,46593
90065,Los Angeles,Los Angeles County,46461
90620,Buena Park,Orange County,46414
95008,Campbell,Santa Clara County,46352
92040,Lakeside,San Diego County,46306
95610,Citrus Heights,Sacramento County,46305
95307,Ceres,Stanislaus County,46283
92506,Riverside,Riverside County,46241
92648,Huntington Beach,Orange County,46228
90059,Los Angeles,Los Angeles County,46185
93455,Santa Maria,Santa Barbara County,46175
93010,Camarillo,Ventura County,46063
92058,Oceanside,San Diego County,46029
91367,Woodland Hills,Los Angeles County,45970
90016,Los Angeles,Los Angeles County,45899
94566,Pleasanton,Alameda County,45893
90043,Los Angeles,Los Angeles County,45873
93311,Bakersfield,Kern County,45481
92236,Coachella,Riverside County,45477
91790,West Covina,Los Angeles County,45444
92104,San Diego,San Diego County,45435
91733,South El Monte,Los Angeles County,45365
95403,Santa Rosa,Sonoma County,45096
92410,San Bernardino,San Bernardino County,45052
95209,Stockton,San Joaquin County,44980
91320,Newbury Park,Ventura County,44968
92688,Rancho Santa Margarita,Orange County,44832
90027,Los Angeles,Los Angeles County,44770
95822,Sacramento,Sacramento County,44741
92867,Orange,Orange County,44655
94117,San Francisco,San Francisco County,44650
93446,Paso Robles,San Luis Obispo County,44636
90503,Torrance,Los Angeles County,44605
92555,Moreno Valley,Riverside County,44452
91789,Walnut,Los Angeles County,44440
94403,San Mateo,San Mateo County,44408
94546,Castro Valley,Alameda County,44378
96003,Redding,Shasta County,44328
94928,Rohnert Park,Sonoma County,44323
91606,North Hollywood,Los Angeles County,44295
92102,San Diego,San Diego County,44010
94121,San Francisco,San Francisco County,43616
93702,Fresno,Fresno County,43601
94605,Oakland,Alameda County,43399
94025,Menlo Park,San Mateo County,43392
92374,Redlands,San Bernardino County,43391
94521,Concord,Contra Costa County,43281
92019,El Cajon,San Diego County,43272
90241,Downey,Los Angeles County,43215
91360,Thousand Oaks,Ventura County,43121
94066,San Bruno,San Mateo County,43101
95831,Sacramento,Sacramento County,43094
95762,El Dorado Hills,El Dorado County,43052
94531,Antioch,Contra Costa County,43022
90604,Whittier,Los Angeles County,42911
95380,Turlock,Stanislaus County,42866
93726,Fresno,Fresno County,42824
94010,Burlingame,San Mateo County,42760
90242,Downey,Los Angeles County,42694
94561,Oakley,Contra Costa County,42473
90007,Los Angeles,Los Angeles County,42433
94134,San Francisco,San Francisco County,42418
92308,Apple Valley,San Bernardino County,42207
90275,Rancho Palos Verdes,Los Angeles County,42146
94118,San Francisco,San Francisco County,42095
95678,Roseville,Placer County,42053
91387,Canyon Country,Los Angeles County,42034
93292,Visalia,Tulare County,42031
95407,Santa Rosa,Sonoma County,42026
92802,Anaheim,Orange County,42016
90806,Long Beach,Los Angeles County,41990
90501,Torrance,Los Angeles County,41975
92545,Hemet,Riverside County,41879
94578,San Leandro,Alameda County,41865
92054,Oceanside,San Diego County,41807
95132,San Jose,Santa Clara County,41790
95621,Citrus Heights,Sacramento County,41740
94901,San Rafael,Marin County,41713
92591,Temecula,Riverside County,41609
95210,Stockton,San Joaquin County,41509
90815,Long Beach,Los Angeles County,41312
95695,Woodland,Yolo County,41278
93635,Los Banos,Merced County,41180
92101,San Diego,San Diego County,41159
93637,Madera,Madera County,41108
